代码,名称,周报成交量,周报交易量同比增减,周报成交金额,周报成交金额同比增减,周报年累计成交总量,周报年累计成交总量同比增减,周报年累计成交金额,周报年累计成交金额同比增减,周报持仓量,周报持仓量环比增减,本周主力合约收盘价,本周主力合约收盘价环比涨跌,昨日仓单量,今日仓单量,仓单量增减量,成交量,成交量变化,持买仓量,持买仓量变化,持卖仓量,持卖仓量变化,消极情绪,积极情绪
ME,甲醇（旧）,1586555.75,856.8344166666666,451.4186776,728.033325,10733592.1,295.34821538461534,6302.37500405,263.20112307692307,85805.9,3.0386210526315782,2337.0,-0.2937649999999999,0.0,0.0,0.0,298.15,43.0,1830.55,-101.6,1816.25,-96.2,0.0,0.0
AP,鲜苹果,876090.25,179.13372,646.6121251500001,95.54769999999999,9913413.2,61.334789999999984,7916.2044485999995,27.336795000000002,125287.85,3.2046850000000004,7806.0,-0.71087,0.0,2.0,0.0,315993.1,6263.05,199975.55,263.05,231260.0,817.1,0.24376459419727325,0.7562353909015656
TA,PTA,4992736.15,61.152315,1090.3550487500002,49.52757000000001,61621636.2,4.508275000000005,15920.538955250002,-5.531524999999999,1346039.6,4.105250000000001,4538.2,-1.8617750000000002,0.0,31016.7,46.85,493134.45,48510.05,217383.05,6559.2,225921.35,7435.15,0.4642633073683226,0.5357366913319405
TC,动力煤（旧),29244.21052631579,-97.10423157894738,9.4636139,-98.09366315789472,619213.0,-88.53571052631578,483.2078654,-91.03413684210527,4417.65,-32.6018875,210.98888888888888,-45.04853000000001,0.0,0.0,0.0,1.0,0.1,2.35,-0.25,2.35,-0.25,0.0,0.0
WT,硬麦,703.55,-39.204305,0.15223545,-43.56203500000001,87211.35,-2.7762299999999995,18.929049550000006,-6.299025,546.2105263157895,-27.1656,1738.3333333333333,-27.157249999999998,0.0,0.0,0.0,6.9,3.4,4.5,-0.85,4.5,-0.85,0.0,0.0
SM,锰硅,540637.8,175.40785500000004,182.2154119,148.248985,3998490.85,26.481444999999997,1337.0061652999998,9.914894999999998,96305.45,3.1331250000000006,6667.2,0.9417900000000001,0.0,25537.0,150.55,606984.0,23440.45,143171.9,3301.75,158622.45,4452.3,0.5004283431708143,0.4995716576663296
WH,强麦,1048.9473684210527,130.53794666666667,0.5462708421052632,143.2048133333333,6576.5,14.87316666666668,3.3823277000000003,22.12395333333333,893.95,66.68318888888888,2231.470588235294,-11.903805882352941,0.0,0.0,0.0,46.75,6.7,28.9,-1.9,29.95,-4.95,0.52462268024683,0.4753773260116577
SF,硅铁,294295.7,65.69828999999999,83.48299265,57.24473499999999,2573754.65,-6.741600000000001,747.5341635000001,-10.589315000000003,69616.8,5.86327,5746.8,-0.12249000000000002,0.0,3385.75,-56.65,773239.3,39619.45,201664.55,2668.8,159659.8,1351.55,0.47169558195891553,0.5283044191487254
ZC,动力煤,564473.9,3.6974400000000047,304.3021027000001,-7.325655,6198942.1,-35.75828,3488.5089322,-40.461045,231428.45,3.9056849999999996,544.6000000000001,-0.24955499999999992,0.0,0.0,0.0,104258.0,3290.7,74210.7,-906.85,68412.05,-108.25,0.4412435787752488,0.5587564207005516
CY,棉纱,40526.15,7447.470311111111,41.524840450000006,8499.859799999998,497454.95,3448.02852,524.7332355000001,3237.0976272727276,6647.45,6.3560300000000005,20910.5,-0.8452049999999998,0.0,2.0,-0.7,17825.8,1132.3,8806.95,242.65,8785.25,212.9,0.535221767489735,0.46477823089627385
CF,棉花,2034115.45,306.090765,1280.72851725,254.19838499999997,20470099.45,185.72253500000005,13525.77697225,151.029835,593723.4,1.364035,12916.75,-0.9445399999999999,0.0,232.5,0.55,652284.95,9049.05,326255.55,-509.65,387390.9,-3334.85,0.4281245289332205,0.5718754672637308
CJ,干制红枣,179228.15,0.0,93.9211565,0.0,8106237.5,0.0,4171.1102176,0.0,33923.4,-2.0467249999999995,10477.75,-0.3049550000000001,0.0,6997.85,26.4,212735.6,5491.65,72970.35,1361.55,78910.8,870.5,0.0,0.0
FG,玻璃,741932.5,118.66702500000001,198.21891540000001,120.560865,7411706.5,42.083905000000016,2084.5790595999997,50.90570000000002,227920.25,3.956005,1374.25,-1.1687850000000004,0.0,565.1,12.95,442303.55,10347.35,264913.9,2064.85,249996.5,4671.1,0.4175360771372272,0.5824639221167712
JR,粳稻（谷）,631.9285714285714,175.41711428571426,0.32299125,175.50054285714285,3407.0625,629.8695166666668,1.7738782777777773,528.8602916666667,410.14285714285717,2.024136363636363,2668.0714285714284,-7.292678571428572,0.0,0.0,0.0,26.05,1.05,7.05,-0.3,7.05,-0.45,0.0,0.0
LR,晚籼稻,793.4666666666667,9193.55517,0.37842882352941176,8119.36004,4284.4,6930.723364285715,2.2990912000000003,5889.476885714285,147.95,20.335414285714286,2492.2727272727275,-9.225390909090908,0.0,0.0,0.0,80.2,16.2,272.55,-24.7,272.55,-24.35,0.4195801056921482,0.5804198944941164
MA,甲醇期货（MA）,5361562.85,94.657455,1108.5868571,67.7625,64216735.25,23.932014999999996,14233.580249899998,6.790470000000001,956950.7,4.61716,2073.3,-0.9864149999999998,0.0,7546.95,153.55,1576531.35,49202.0,918264.8,13089.05,885661.55,14087.9,0.0,0.0
OI,菜籽,94963.7,-51.4732052631579,49.212357350000005,-41.01620526315789,3091924.35,-37.814255,1624.9763644999998,-22.22537,81365.55,-1.8249684210526318,9748.35,-0.6147421052631579,0.0,1406.5,-35.45,729048.8,-6726.7,157492.05,918.75,176660.95,908.0,0.5262449216903545,0.47375508084391743
PM,普麦,30.571428571428573,180.95235,0.03264639999999999,90.5323,145.10526315789474,536.944690909091,0.16659900000000002,528.0791909090908,26.45,35.8952,1600.3,-35.80827272727273,0.0,0.0,0.0,1.2,0.2,3.3,-0.05,3.3,-0.05,0.5975678581744432,0.40243215300142765
RI,早籼稻,123.07692307692308,268.75,0.052952375,343.27565,810.8125,623.8158142857143,0.3659337777777778,554.4133333333334,23.75,-8.118561538461538,2391.6363636363635,-23.347523076923075,0.0,0.0,0.0,7.2,0.1,2.2,0.2,2.2,0.2,0.4613074078385172,0.5386925930606907
RM,菜籽粕,2546888.3,42.55702000000001,587.5974028,43.45847500000001,30673900.05,4.737219999999999,7074.389183949999,7.00737,388880.45,4.850890000000001,2288.6,0.07879499999999998,0.0,1306.7,-16.45,1590032.8,-2998.15,307044.85,1752.7,350760.6,2377.8,0.517480765554038,0.48251923986456613
SA,纯碱,182080.7,0.0,57.40370234999999,0.0,1126701.15,0.0,361.9753658000001,0.0,31861.45,3.3864789473684214,1543.55,-0.8318578947368422,0.0,1145.3,-19.7,1080307.0,27990.65,330774.85,1441.1,323404.65,1409.6,0.44821387925709655,0.5517861214172732
